constraint	redshift	our_fiducial_rd	Distance	S/N	Reference	6dF	SDSS	BOSS	BOSS	BOSS	BOSS	BOSS and eBOSS	BOSS and eBOSS	eBOSS	eBOSS	eBOSS	BOSS and eBOSS	BOSS and eBOSS
DV	0.106	153.7447808	457.5737524	22.4	6dF	417.2786569	0	0	0	0	0	0	0	0	0	0	0	0
DV	0.15	152.4214378	664	26.56	SDSS	0	625	0	0	0	0	0	0	0	0	0	0	0
DM	0.38	151.3080801	1512.39	60.50978516	BOSS	0	0	624.707	23.729	325.332	8.34963	0	0	0	0	0	0	0
H	0.38	151.3080801	81.2087	42.77850536	BOSS	0	0	23.729	5.60873	11.6429	2.33996	0	0	0	0	0	0	0
DM	0.51	151.3080801	1975.22	74.61777415	BOSS	0	0	325.332	11.6429	905.777	29.3392	0	0	0	0	0	0	0
H	0.51	151.3080801	90.9029	46.57376357	BOSS	0	0	8.34963	2.33996	29.3392	5.42327	0	0	0	0	0	0	0
DM	0.698	151.3667115	2639.073602	54.42542051	BOSS+eBOSS	0	0	0	0	0	0	2351.253303	46.80996066	0	0	0	0	0
H	0.698	151.3667115	104.969169	36.27635058	BOSS+eBOSS	0	0	0	0	0	0	46.80996066	8.372908351	0	0	0	0	0
DV	0.845	151.3080801	2708.6241	30.83395203	eBOSS	0	0	0	0	0	0	0	0	7716.832823	0	0	0	0
DM	1.48	151.3667115	4535.013528	38.44018775	eBOSS	0	0	0	0	0	0	0	0	0	13918.29937	-290.991626	0	0
H	1.48	151.3667115	152.9790785	24.02415211	eBOSS	0	0	0	0	0	0	0	0	0	-290.991626	40.54786048	0	0
DM	2.334	150.8739065	5523.12254	33.37307526	BOSS+eBOSS	0	0	0	0	0	0	0	0	0	0	0	27389.04579	360.3520182
H	2.334	150.8739065	226.1076026	47.4896973	BOSS+eBOSS	0	0	0	0	0	0	0	0	0	0	0	360.3520182	22.66895642
